--- NVTX Summary ---
Generating SQLite file results/medium_ctx256_full.sqlite from results/medium_ctx256_full.nsys-rep
Processing [results/medium_ctx256_full.sqlite] with [/opt/nvidia/nsight-compute/2023.1.1/host/target-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)   Style              Range            
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  -------  ----------------------------
     74.0        858400211          1  858400211.0  858400211.0  858400211  858400211          0.0  PushPop  benchmark                   
     13.2        152867542        144    1061580.2     458303.5     424199   60517410    5001540.1  PushPop  scaled dot product attention
      6.0         69048726        144     479505.0     182615.5     169832   29141119    2412322.0  PushPop  computing attention scores  
      4.6         53040911        144     368339.7     126437.0     117313   23131944    1915974.5  PushPop  computing softmax           
      2.3         26449965        144     183680.3     121498.0     109409    8148169     668784.0  PushPop  final matmul                


--- CUDA Kernel Summary ---
Processing [results/medium_ctx256_full.sqlite] with [/opt/nvidia/nsight-compute/2023.1.1/host/target-linux-x64/reports/cuda_kern_exec_sum.py]... 

 ** CUDA Kernel Launch & Exec Time Summary (cuda_kern_exec_sum):

 PID   TID   DevId  Count  QCount  TAvg (ns)   TMed (ns)   TMin (ns)  TMax (ns)  TStdDev (ns)  AAvg (ns)   AMed (ns)  AMin (ns)  AMax (ns)  AStdDev (ns)  QAvg (ns)   QMed (ns)   QMin (ns)  QMax (ns)  QStdDev (ns)  KAvg (ns)  KMed (ns)  KMin (ns)  KMax (ns)  KStdDev (ns)      API Name                                                  Kernel Name                                             
 3288  3288      0   1314    1314  16618160.0  16253946.5     833827   48889560     9560015.5     10691.8     4452.5       4142     304558       26302.0  16585148.6  16229244.5     649487   48869065     9550885.2    22319.6    16224.0       1344     146273       19340.8  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::sqrt_kernel_cuda(at::TensorItera…
 3288  3288      0   7884    7880  16599385.9  16215584.0     155265   48912756     9595721.0      9203.4     4782.0       4238     301315       21716.8  16577461.8  16181717.5        277   48891593     9584769.0    21132.4    15328.0       1216     147873       19715.9  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, floa…
 3288  3288      0   2778    2776  16174344.1  15962032.5      10814   48909208     9794083.8      9980.6     4566.0       4111    3491509       69401.3  16166098.9  15962952.0         60   48896008     9783306.9     9903.7     7744.0       1055      73056        9845.6  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::…
 3288  3288      0   6120    6117  15554562.7  15644911.5      11120   48926461     9957941.1      8495.8     4337.0       3840     307225       21092.8  15526003.8  15623203.0        380   48896986     9945468.2    27676.0    18432.0       1280     220034       28582.3  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::deta…
 3288  3288      0   1608    1607  15248406.6  15242330.0      17197   48888665    10048709.2     27851.2     4653.0       4240   29139319      726803.4  15210061.8  15182321.0         80   48868001    10036203.4    19955.0    15936.0       1247     146881       18161.2  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scala…
 3288  3288      0   1608    1607  15237802.4  15215087.0       8137   48880754    10020725.4     16811.8     4524.0       4129   11848196      295978.7  15214509.2  15229635.0        494   48867194    10014379.2    15944.2     8768.5       1247     146626       19835.1  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, at…
 3288  3288      0      6       5  13686353.2  11858899.0    1291167   35214540    11331997.7   1993268.5     7144.0       6020   11922367     4864245.3  13856912.6  11498955.0    1138101   35062663    12639235.9   145921.0   145809.0     145377     146625         436.9  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIterat…
 3288  3288      0      6       5  12632246.8  10436456.0    1204249   34968718    11625158.1   1136075.2     6480.0       6105    6781279     2765574.1  13792992.6  11399539.0    1195642   34960373    12596545.7     2240.2     2288.5       1920       2368         170.6  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::log_kernel_cuda(at::TensorIterat…
 3288  3288      0      6       5  12548190.3  10623240.0    1255693   35185112    11834391.1    909948.5     8702.5       6525    5417633     2208306.2  13958453.0  11605800.0    1241819   35172123    12643236.6     6432.0     6480.0       5824       6944         366.0  cudaLaunchKernel  void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)4, void at::native::_cuda_scatte…
 3288  3288      0      6       2  10585700.8   7690935.0      31263   25483576    12023256.7   4254284.0    12091.5       9862   25468646    10392872.5  18937478.0  18937478.0   15319352   22555604     5116802.9    19984.0    20000.0      19456      20320         295.9  cudaLaunchKernel  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
